Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_10018_C	10000	0.9025974025974026	0.9266666666666666	0.9821428571428571	0.7333333333333333	81.0	0.9144736842105262	0.8396946564885496
CPC	Graph_100_10019_C	10000	0.8846153846153846	0.92	0.9243697478991597	0.7333333333333333	91.0	0.9019607843137256	0.8178438661710038
CPC	Graph_100_10020_C	10000	0.9144736842105263	0.9266666666666666	0.9473684210526315	0.72	82.0	0.9205298013245033	0.8181818181818181
PCMax	Graph_100_101_C	100	0.7401574803149606	0.6266666666666667	0.6476190476190476	0.4533333333333333	211.0	0.6787003610108303	0.5333333333333333
PCMax	Graph_100_102_C	100	0.7704918032786885	0.6266666666666667	0.5631067961165048	0.38666666666666666	226.0	0.6911764705882353	0.4584980237154149
PCMax	Graph_100_103_C	100	0.7441860465116279	0.64	0.6216216216216216	0.46	213.0	0.6881720430107526	0.5287356321839081
PCMax	Graph_100_104_C	100	0.7835820895522388	0.7	0.5945945945945946	0.44	206.0	0.7394366197183099	0.5057471264367815
PCMax	Graph_100_105_C	100	0.7950819672131147	0.6466666666666666	0.6052631578947368	0.46	207.0	0.7132352941176471	0.5227272727272727
PCMax	Graph_100_106_C	100	0.819672131147541	0.6666666666666666	0.5769230769230769	0.4	207.0	0.7352941176470588	0.47244094488188976
PCMax	Graph_100_107_C	100	0.7642276422764228	0.6266666666666667	0.6354166666666666	0.4066666666666667	217.0	0.6886446886446886	0.4959349593495935
PCMax	Graph_100_108_C	100	0.7651515151515151	0.6733333333333333	0.5754716981132075	0.4066666666666667	218.0	0.7163120567375887	0.47656249999999994
PCMax	Graph_100_109_C	100	0.7983870967741935	0.66	0.5765765765765766	0.4266666666666667	212.0	0.7226277372262774	0.4904214559386974
PCMax	Graph_100_110_C	100	0.8346456692913385	0.7066666666666667	0.7	0.5133333333333333	176.0	0.7653429602888087	0.5923076923076922
PCMax	Graph_100_111_C	100	0.7651515151515151	0.6733333333333333	0.6460176991150443	0.4866666666666667	201.0	0.7163120567375887	0.5551330798479088
PCMax	Graph_100_112_C	100	0.8029197080291971	0.7333333333333333	0.6046511627906976	0.52	191.0	0.7665505226480835	0.5591397849462365
PCMax	Graph_100_113_C	100	0.8130081300813008	0.6666666666666666	0.6336633663366337	0.4266666666666667	201.0	0.7326007326007327	0.5099601593625499
PCMax	Graph_100_114_C	100	0.8429752066115702	0.68	0.6565656565656566	0.43333333333333335	187.0	0.7527675276752768	0.5220883534136547
PCMax	Graph_100_115_C	100	0.7803030303030303	0.6866666666666666	0.6697247706422018	0.4866666666666667	195.0	0.7304964539007092	0.5637065637065638
PCMax	Graph_100_116_C	100	0.7835820895522388	0.7	0.6115702479338843	0.49333333333333335	199.0	0.7394366197183099	0.5461254612546126
PCMax	Graph_100_117_C	100	0.75	0.64	0.5700934579439252	0.4066666666666667	227.0	0.6906474820143884	0.47470817120622566
PCMax	Graph_100_118_C	100	0.7709923664122137	0.6733333333333333	0.6371681415929203	0.48	204.0	0.7188612099644129	0.5475285171102662
PCMax	Graph_100_119_C	100	0.8188976377952756	0.6933333333333334	0.6	0.42	204.0	0.7509025270758124	0.49411764705882355
PCMax	Graph_100_120_C	100	0.7768595041322314	0.6266666666666667	0.6404494382022472	0.38	218.0	0.6937269372693728	0.4769874476987448
PCMax	Graph_100_1001_C	1000	0.7225806451612903	0.7466666666666667	0.578125	0.49333333333333335	214.0	0.7344262295081967	0.5323741007194245
PCMax	Graph_100_1002_C	1000	0.7516778523489933	0.7466666666666667	0.6335877862595419	0.5533333333333333	192.0	0.7491638795986622	0.5907473309608541
PCMax	Graph_100_1003_C	1000	0.782051282051282	0.8133333333333334	0.6573426573426573	0.6266666666666667	171.0	0.7973856209150326	0.6416382252559727
PCMax	Graph_100_1004_C	1000	0.7763157894736842	0.7866666666666666	0.6690647482014388	0.62	173.0	0.7814569536423841	0.643598615916955
PCMax	Graph_100_1005_C	1000	0.8866666666666667	0.8866666666666667	0.8029197080291971	0.7333333333333333	104.0	0.8866666666666667	0.7665505226480835
PCMax	Graph_100_1006_C	1000	0.8012820512820513	0.8333333333333334	0.6666666666666666	0.6266666666666667	160.0	0.8169934640522877	0.6460481099656358
