Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_120_C	100	0.05	0.8640776699029126	0.5933333333333334	0.9148936170212766	0.2866666666666667	200.0	0.7035573122529644	0.4365482233502538
CPC	Graph_100_120_C	100	0.08	0.8070175438596491	0.6133333333333333	0.9148936170212766	0.2866666666666667	213.0	0.696969696969697	0.4365482233502538
CPC	Graph_100_120_C	100	0.1	0.788135593220339	0.62	0.8823529411764706	0.3	218.0	0.6940298507462687	0.44776119402985076
CPC	Graph_100_1001_C	1000	1.0E-4	0.9252336448598131	0.66	0.9622641509433962	0.34	167.0	0.7704280155642023	0.5024630541871921
CPC	Graph_100_1001_C	1000	0.001	0.9026548672566371	0.68	0.9333333333333333	0.37333333333333335	165.0	0.7756653992395438	0.5333333333333333
CPC	Graph_100_1001_C	1000	0.01	0.8699186991869918	0.7133333333333334	0.9090909090909091	0.4666666666666667	156.0	0.7838827838827839	0.6167400881057269
CPC	Graph_100_1001_C	1000	0.03	0.856	0.7133333333333334	0.8961038961038961	0.46	161.0	0.7781818181818182	0.6079295154185022
CPC	Graph_100_1001_C	1000	0.05	0.8222222222222222	0.74	0.8837209302325582	0.5066666666666667	162.0	0.7789473684210526	0.6440677966101697
CPC	Graph_100_1001_C	1000	0.08	0.7832167832167832	0.7466666666666667	0.8777777777777778	0.5266666666666666	172.0	0.7645051194539249	0.6583333333333333
CPC	Graph_100_1001_C	1000	0.1	0.7724137931034483	0.7466666666666667	0.8681318681318682	0.5266666666666666	177.0	0.7593220338983051	0.6556016597510373
CPC	Graph_100_1002_C	1000	1.0E-4	0.9017857142857143	0.6733333333333333	0.9629629629629629	0.3466666666666667	170.0	0.7709923664122137	0.5098039215686275
CPC	Graph_100_1002_C	1000	0.001	0.905982905982906	0.7066666666666667	0.8985507246376812	0.41333333333333333	157.0	0.7940074906367041	0.5662100456621004
CPC	Graph_100_1002_C	1000	0.01	0.9051724137931034	0.7	0.927536231884058	0.4266666666666667	154.0	0.7894736842105263	0.5844748858447489
CPC	Graph_100_1002_C	1000	0.03	0.8548387096774194	0.7066666666666667	0.88	0.44	166.0	0.7737226277372263	0.5866666666666667
