GraphID, DataSetID, Algorithm, Elapsed Time
Graph_10001, DataSet_100_10001, CPC Stable, 0.127973755 s
Graph_10002, DataSet_100_10002, CPC Stable, 0.121938254 s
Graph_10003, DataSet_100_10003, CPC Stable, 0.10391557 s
Graph_10004, DataSet_100_10004, CPC Stable, 0.098744789 s
Graph_10005, DataSet_100_10005, CPC Stable, 0.095090473 s
Graph_10006, DataSet_100_10006, CPC Stable, 0.092806792 s
Graph_10007, DataSet_100_10007, CPC Stable, 0.086681484 s
Graph_10008, DataSet_100_10008, CPC Stable, 0.089489041 s
Graph_10009, DataSet_100_10009, CPC Stable, 0.111474808 s
Graph_10010, DataSet_100_10010, CPC Stable, 0.087170721 s
Graph_10011, DataSet_100_10011, CPC Stable, 0.146675556 s
Graph_10012, DataSet_100_10012, CPC Stable, 0.106055986 s
Graph_10013, DataSet_100_10013, CPC Stable, 0.095479639 s
Graph_10014, DataSet_100_10014, CPC Stable, 0.087467087 s
Graph_10015, DataSet_100_10015, CPC Stable, 0.092505295 s
Graph_10016, DataSet_100_10016, CPC Stable, 0.094874934 s
Graph_10017, DataSet_100_10017, CPC Stable, 0.091752622 s
Graph_10018, DataSet_100_10018, CPC Stable, 0.09766838 s
Graph_10019, DataSet_100_10019, CPC Stable, 0.095940652 s
Graph_10020, DataSet_100_10020, CPC Stable, 0.104372306 s
Graph_10001, DataSet_100_10001, PC Max, 0.088324108 s
Graph_10001, DataSet_100_10001, PC Stable, 0.088498164 s
Graph_10002, DataSet_100_10002, PC Max, 0.086696451 s
Graph_10002, DataSet_100_10002, PC Stable, 0.078089457 s
Graph_10003, DataSet_100_10003, PC Max, 0.0757087 s
Graph_10003, DataSet_100_10003, PC Stable, 0.074817466 s
Graph_10004, DataSet_100_10004, PC Max, 0.062955159 s
Graph_10004, DataSet_100_10004, PC Stable, 0.070857377 s
Graph_10005, DataSet_100_10005, PC Max, 0.079597798 s
Graph_10005, DataSet_100_10005, PC Stable, 0.076118394 s
Graph_10006, DataSet_100_10006, PC Max, 0.07229943 s
Graph_10006, DataSet_100_10006, PC Stable, 0.072108696 s
Graph_10007, DataSet_100_10007, PC Max, 0.064281746 s
Graph_10007, DataSet_100_10007, PC Stable, 0.072318248 s
Graph_10008, DataSet_100_10008, PC Max, 0.068656662 s
Graph_10008, DataSet_100_10008, PC Stable, 0.074659233 s
Graph_10009, DataSet_100_10009, PC Max, 0.079064085 s
Graph_10009, DataSet_100_10009, PC Stable, 0.066652668 s
Graph_10010, DataSet_100_10010, PC Max, 0.131115312 s
Graph_10010, DataSet_100_10010, PC Stable, 0.067306553 s
Graph_10011, DataSet_100_10011, PC Max, 0.23409218 s
Graph_10011, DataSet_100_10011, PC Stable, 0.076946763 s
Graph_10012, DataSet_100_10012, PC Max, 0.089912421 s
Graph_10012, DataSet_100_10012, PC Stable, 0.074671636 s
Graph_10013, DataSet_100_10013, PC Max, 0.062310255 s
Graph_10013, DataSet_100_10013, PC Stable, 0.0710464 s
Graph_10014, DataSet_100_10014, PC Max, 0.059700274 s
Graph_10014, DataSet_100_10014, PC Stable, 0.078994377 s
Graph_10015, DataSet_100_10015, PC Max, 0.065034847 s
Graph_10015, DataSet_100_10015, PC Stable, 0.071430435 s
Graph_10016, DataSet_100_10016, PC Max, 0.087647129 s
Graph_10016, DataSet_100_10016, PC Stable, 0.062970982 s
Graph_10017, DataSet_100_10017, PC Max, 0.064543044 s
Graph_10017, DataSet_100_10017, PC Stable, 0.07075816 s
Graph_10018, DataSet_100_10018, PC Max, 0.064077754 s
Graph_10018, DataSet_100_10018, PC Stable, 0.075356312 s
Graph_10019, DataSet_100_10019, PC Max, 0.103842441 s
Graph_10019, DataSet_100_10019, PC Stable, 0.068285456 s
Graph_10020, DataSet_100_10020, PC Max, 0.069132642 s
Graph_10020, DataSet_100_10020, PC Stable, 0.069583818 s
Graph_10001, DataSet_100_10001, FGES, 1.655452543 s
Graph_10002, DataSet_100_10002, FGES, 2.202842968 s
Graph_10003, DataSet_100_10003, FGES, 1.491764853 s
Graph_10004, DataSet_100_10004, FGES, 2.130783879 s
Graph_10005, DataSet_100_10005, FGES, 1.305254046 s
Graph_10006, DataSet_100_10006, FGES, 1.854704915 s
Graph_10007, DataSet_100_10007, FGES, 2.644855241 s
Graph_10008, DataSet_100_10008, FGES, 1.355956877 s
Graph_10009, DataSet_100_10009, FGES, 1.733739578 s
Graph_10010, DataSet_100_10010, FGES, 1.761810454 s
Graph_10011, DataSet_100_10011, FGES, 1.67001806 s
Graph_10012, DataSet_100_10012, FGES, 1.262000546 s
Graph_10013, DataSet_100_10013, FGES, 2.025974937 s
